;Z;N
0;4;3
1;18;19
2;20;21
3;22;22
4;23;26
5;24;27
6;25;28
7;25;29
8;26;29
9;27;30
10;31;36
11;32;36
12;32;39
13;33;40
14;34;38
15;34;41
16;36;45
17;37;46
18;38;44
19;38;47
20;40;48
21;41;50
22;42;51
23;43;54
24;45;56
25;46;54
26;46;57
27;48;61
28;49;62
29;50;60
30;51;68
31;52;66
32;53;72
33;54;68
34;54;73
35;55;76
36;56;72
37;56;77
38;57;80
39;58;76
40;58;81
41;60;80
42;61;82
43;61;83
44;61;84
45;61;85
46;62;83
47;63;86
48;64;82
49;64;87
50;64;89
51;65;90
52;65;92
53;66;86
54;66;93
55;67;94
56;67;96
57;67;97
58;68;90
59;68;92
60;68;97
61;69;98
62;70;94
63;70;96
64;70;99
65;71;102
66;72;98
67;72;100
68;72;103
69;73;106
70;73;107
71;74;102
72;74;104
73;74;107
74;75;108
75;76;106
76;76;109
77;77;112
78;78;110
79;78;113
80;78;115
81;79;116
82;80;112
83;80;114
84;80;117
85;81;120
86;81;121
87;82;118
88;82;120
89;82;121
90;82;123
91;85;126
92;91;138
93;92;139
94;93;135
95;93;142
96;93;143
97;94;138
98;94;140
99;94;143
100;95;144
101;96;142
102;96;145
103;97;148
104;98;149
105;99;152
106;100;153
107;101;156
0;1;5
1;1;6
2;3;0
3;3;1
4;3;2
5;3;9
6;4;1
7;4;2
8;4;9
9;5;1
10;5;2
11;5;4
12;5;11
13;6;2
14;6;15
15;6;17
16;7;3
17;7;4
18;7;17
19;7;18
20;8;3
21;8;4
22;8;19
23;8;20
24;9;4
25;9;5
26;9;6
27;9;7
28;9;21
29;10;5
30;10;6
31;10;23
32;11;6
33;11;7
34;11;8
35;11;25
36;11;27
37;12;7
38;12;27
39;13;8
40;15;9
41;15;10
42;16;10
43;17;11
44;17;12
45;17;13
46;18;11
47;18;12
48;19;12
49;19;13
50;19;14
51;19;15
52;20;13
53;20;14
54;21;14
55;21;15
56;21;16
57;21;17
58;21;18
59;22;15
60;22;16
61;23;16
62;23;17
63;23;18
64;23;19
65;24;17
66;25;18
67;25;19
68;25;20
69;26;19
70;27;20
71;27;21
72;27;22
73;28;20
74;29;23
75;29;24
76;29;25
77;30;24
78;31;25
79;31;26
80;31;27
81;31;28
82;32;26
83;33;27
84;33;28
85;33;29
86;33;30
87;35;30
88;35;31
89;35;32
90;35;33
91;35;34
92;36;31
93;37;34
94;37;35
95;41;38
96;41;39
97;41;40
98;43;40
99;43;41
100;43;42
101;47;46
102;51;51
103;51;52
104;53;56
105;55;56
106;55;57
107;55;58
108;56;57
109;57;60
110;59;62
111;63;67
112;63;68
113;65;70
114;65;72
115;67;73
116;67;74
117;68;74
118;69;75
119;69;76
120;69;77
121;71;79
122;71;80
123;73;82
124;73;83
125;75;84
126;75;85
127;75;86
128;77;86
129;77;87
130;77;88
131;79;89
132;79;90
133;79;91
134;79;92
135;81;95
136;83;102
0;1;3
1;1;4
2;2;3
3;2;5
4;2;7
5;2;8
6;3;7
7;3;10
8;4;11
9;4;12
10;5;13
11;5;15
12;5;16
13;8;17
14;8;18
15;9;19
0;96;154
1;98;140
2;98;156
3;98;158
4;100;141
5;100;142
6;100;144
7;100;156
8;100;158
9;100;159
10;100;160
11;101;158
12;101;159
13;101;161
14;102;146
15;102;148
16;102;156
17;102;158
18;102;160
19;103;158
20;103;163
21;104;149
22;104;150
23;104;152
24;104;154
25;104;156
26;104;157
27;104;158
28;104;159
29;104;161
30;104;163
31;105;150
32;105;156
33;105;157
34;105;158
35;105;162
36;105;163
37;105;165
38;106;152
39;106;154
40;106;156
41;106;158
42;106;160
43;106;161
44;106;167
45;107;168
46;107;171
47;108;169
48;108;170
49;109;168
50;110;161
51;110;162
52;110;169
53;110;170
54;110;171
55;111;170
56;112;170
57;112;172
58;114;170
