;Z;N
0;1;2
1;2;4
2;2;6
3;3;5
4;3;6
5;3;8
6;4;6
7;4;7
8;4;8
9;4;10
10;5;7
11;5;8
12;5;9
13;5;10
14;5;12
15;5;14
16;6;8
17;6;9
18;6;10
19;6;11
20;6;12
21;6;13
22;6;14
23;6;16
24;7;9
25;7;10
26;7;11
27;7;12
28;7;13
29;7;14
30;7;15
31;7;16
32;8;11
33;8;12
34;8;13
35;8;14
36;8;15
37;8;16
38;9;11
39;9;12
40;9;13
41;9;14
42;9;15
43;9;16
44;9;17
45;9;18
46;9;20
47;9;22
48;10;13
49;10;14
50;10;15
51;10;16
52;10;17
53;10;18
54;10;19
55;10;20
56;10;21
57;10;22
58;10;24
59;11;13
60;11;14
61;11;15
62;11;16
63;11;17
64;11;18
65;11;19
66;11;20
67;11;21
68;11;22
69;11;23
70;11;24
71;11;26
72;11;28
73;12;15
74;12;16
75;12;17
76;12;18
77;12;19
78;12;20
79;12;21
80;12;22
81;12;23
82;12;24
83;12;25
84;12;26
85;12;28
86;12;29
87;13;15
88;13;16
89;13;17
90;13;18
91;13;19
92;13;20
93;13;21
94;13;22
95;13;23
96;13;24
97;13;25
98;13;26
99;13;27
100;13;28
101;13;29
102;13;30
103;14;17
104;14;18
105;14;19
106;14;20
107;14;21
108;14;22
109;14;23
110;14;24
111;14;25
112;14;26
113;14;27
114;14;28
115;14;29
116;14;30
117;14;31
118;15;17
119;15;18
120;15;19
121;15;20
122;15;21
123;15;22
124;15;23
125;15;24
126;15;25
127;15;26
128;15;27
129;15;28
130;15;29
131;15;30
132;15;31
133;15;32
134;16;19
135;16;21
136;16;22
137;16;23
138;16;24
139;16;25
140;16;26
141;16;27
142;16;28
143;16;29
144;16;30
145;16;31
146;16;32
147;16;33
148;17;19
149;17;21
150;17;22
151;17;23
152;17;24
153;17;25
154;17;26
155;17;27
156;17;28
157;17;29
158;17;30
159;17;31
160;17;32
161;17;33
162;17;34
163;17;35
164;18;21
165;18;23
166;18;24
167;18;25
168;18;26
169;18;27
170;18;28
171;18;29
172;18;30
173;18;31
174;18;32
175;18;33
176;18;34
177;18;35
178;18;36
179;19;23
180;19;24
181;19;25
182;19;26
183;19;27
184;19;28
185;19;29
186;19;30
187;19;31
188;19;32
189;19;33
190;19;34
191;19;35
192;19;36
193;19;37
194;19;38
195;19;39
196;19;40
197;20;25
198;20;27
199;20;29
200;20;30
201;20;31
202;20;32
203;20;33
204;20;34
