;Z;N
0;5;3
1;6;3
2;6;4
3;6;5
4;7;5
5;7;6
6;8;5
7;8;6
8;8;7
9;9;8
10;9;9
11;10;7
12;10;8
13;10;9
14;11;9
15;11;10
16;11;11
17;12;8
18;12;9
19;12;10
20;12;11
21;13;9
22;13;10
23;13;11
24;13;12
25;13;13
26;14;8
27;14;9
28;14;10
29;14;11
30;14;12
31;14;13
32;15;11
33;15;12
34;15;13
35;15;14
36;15;15
37;16;11
38;16;12
39;16;13
40;16;14
41;16;15
42;17;14
43;17;15
44;17;16
45;17;17
46;18;13
47;18;14
48;18;15
49;18;16
50;18;17
51;19;16
52;19;17
53;19;18
54;19;19
55;20;15
56;20;16
57;20;17
58;20;18
59;20;19
60;21;19
61;21;20
62;21;21
63;21;22
64;21;23
65;22;17
66;22;18
67;22;19
68;22;20
69;22;21
70;22;23
71;23;20
72;23;21
73;23;22
74;23;23
75;23;24
76;23;25
77;24;18
78;24;19
79;24;20
80;24;21
81;24;22
82;24;23
83;24;24
84;24;25
85;25;21
86;25;22
87;25;23
88;25;24
89;25;25
90;25;26
91;25;27
92;26;20
93;26;21
94;26;22
95;26;23
96;26;24
97;26;25
98;26;26
99;26;27
100;27;23
101;27;24
102;27;25
103;27;26
104;27;27
105;27;28
106;27;29
107;27;31
108;28;21
109;28;22
110;28;23
111;28;24
112;28;25
113;28;26
114;28;27
115;28;28
116;28;29
117;28;31
118;29;26
119;29;27
120;29;28
121;29;29
122;29;30
123;29;31
124;29;32
125;29;33
126;29;35
127;30;25
128;30;26
129;30;27
130;30;28
131;30;29
132;30;30
133;30;31
134;30;32
135;30;33
136;30;35
137;31;29
138;31;30
139;31;31
140;31;32
141;31;33
142;31;34
143;31;35
144;31;37
145;32;27
146;32;28
147;32;29
148;32;30
149;32;31
150;32;32
151;32;33
152;32;34
153;32;35
154;32;37
155;33;31
156;33;32
157;33;33
158;33;34
159;33;35
160;33;36
161;33;37
162;33;38
163;33;39
164;33;41
165;34;29
166;34;30
167;34;31
168;34;32
169;34;33
170;34;34
171;34;35
172;34;36
173;34;37
174;34;39
175;35;35
176;35;36
177;35;37
178;35;38
179;35;39
180;35;40
181;35;41
182;35;42
183;35;43
184;36;32
185;36;33
186;36;34
187;36;35
188;36;36
189;36;37
190;36;38
191;36;39
192;36;40
193;36;41
194;36;43
195;37;36
196;37;37
197;37;38
198;37;39
199;37;40
200;37;41
201;37;42
202;37;43
203;37;44
204;37;45
205;37;47
206;38;35
207;38;36
208;38;37
209;38;38
210;38;39
211;38;40
212;38;41
213;38;42
214;38;43
215;38;45
216;39;36
217;39;37
218;39;38
219;39;39
220;39;40
221;39;41
222;39;42
223;39;43
224;39;44
225;39;45
226;39;46
