;Z;N
0;1;5
1;1;6
2;3;0
3;3;1
4;3;2
5;3;9
6;4;1
7;4;2
8;4;9
9;5;1
10;5;2
11;5;4
12;5;11
13;6;2
14;6;15
15;6;17
16;7;3
17;7;4
18;7;17
19;7;18
20;8;3
21;8;4
22;8;19
23;8;20
24;9;4
25;9;5
26;9;6
27;9;7
28;9;21
29;10;5
30;10;6
31;10;23
32;11;6
33;11;7
34;11;8
35;11;25
36;11;27
37;12;7
38;12;27
39;13;8
40;15;9
41;15;10
42;16;10
43;17;11
44;17;12
45;17;13
46;18;11
47;18;12
48;19;12
49;19;13
50;19;14
51;19;15
52;20;13
53;20;14
54;21;14
55;21;15
56;21;16
57;21;17
58;21;18
59;22;15
60;22;16
61;23;16
62;23;17
63;23;18
64;23;19
65;24;17
66;25;18
67;25;19
68;25;20
69;26;19
70;27;20
71;27;21
72;27;22
73;28;20
74;29;23
75;29;24
76;29;25
77;30;24
78;31;25
79;31;26
80;31;27
81;31;28
82;32;26
83;33;27
84;33;28
85;33;29
86;33;30
87;35;30
88;35;31
89;35;32
90;35;33
91;35;34
92;36;31
93;37;34
94;37;35
95;41;38
96;41;39
97;41;40
98;43;40
99;43;41
100;43;42
101;47;46
102;51;51
103;51;52
104;53;56
105;55;56
106;55;57
107;55;58
108;56;57
109;57;60
110;59;62
111;63;67
112;63;68
113;65;70
114;65;72
115;67;73
116;67;74
117;68;74
118;69;75
119;69;76
120;69;77
121;71;79
122;71;80
123;73;82
124;73;83
125;75;84
126;75;85
127;75;86
128;77;86
129;77;87
130;77;88
131;79;89
132;79;90
133;79;91
134;79;92
135;81;95
136;83;102
