;Z;N
0;96;154
1;98;140
2;98;156
3;98;158
4;100;141
5;100;142
6;100;144
7;100;156
8;100;158
9;100;159
10;100;160
11;101;158
12;101;159
13;101;161
14;102;146
15;102;148
16;102;156
17;102;158
18;102;160
19;103;158
20;103;163
21;104;149
22;104;150
23;104;152
24;104;154
25;104;156
26;104;157
27;104;158
28;104;159
29;104;161
30;104;163
31;105;150
32;105;156
33;105;157
34;105;158
35;105;162
36;105;163
37;105;165
38;106;152
39;106;154
40;106;156
41;106;158
42;106;160
43;106;161
44;106;167
45;107;168
46;107;171
47;108;169
48;108;170
49;109;168
50;110;161
51;110;162
52;110;169
53;110;170
54;110;171
55;111;170
56;112;170
57;112;172
58;114;170
